date,home_team,away_team,home_score,away_score,tournament,neutral,home_form,home_avg_scored,home_avg_conceded,away_form,away_avg_scored,away_avg_conceded,home_elo,away_elo,elo_diff,result
1935-07-18,Uruguay,Argentina,1.0,1.0,Friendly,False,-0.8346700424223781,1.2,1.6,-0.9215286692354107,1.2,1.6,1964,2018,-54,D
1935-08-15,Argentina,Uruguay,3.0,0.0,Friendly,False,-1.1536243740800307,1.2,1.8,-0.11923857748891115,1.2,1.0,2018,1964,54,W
1935-09-22,Norway,Sweden,0.0,2.0,Nordic Championship,False,0.20751530433154416,2.0,1.6,0.6294591506389349,2.2,1.6,1741,1756,-15,L
1935-10-27,Switzerland,France,2.0,1.0,Friendly,False,-0.6365496507869376,1.4,3.0,-1.8662196389542964,1.8,2.6,1624,1627,-3,W
1935-11-03,Switzerland,Norway,2.0,0.0,Friendly,False,-1.4410850675803046,1.2,2.8,-0.31127295649731623,1.2,1.8,1624,1741,-117,W
1935-11-10,France,Sweden,2.0,0.0,Friendly,False,-2.257497072121576,1.0,2.2,0.7323304902862066,2.4,1.6,1627,1756,-129,W
1935-11-17,Belgium,Sweden,5.0,1.0,Friendly,False,-1.9071081898077784,1.2,3.0,-0.8445967426295818,1.8,1.6,1529,1756,-227,W
1935-12-04,England,Germany,3.0,0.0,Friendly,False,1.6543318595314842,2.4,0.6,0.6402721633646388,2.4,1.6,2032,1878,154,W
1936-01-12,France,Netherlands,1.0,6.0,Friendly,False,-0.6953417145141261,1.0,1.6,0.6622527138234471,2.4,1.6,1648,1713,-65,L
1936-01-19,Spain,Austria,4.0,5.0,Friendly,False,3.4043854710610035,2.4,1.2,0.4586371845733047,2.4,1.4,1977,1892,85,L
1936-01-26,Portugal,Austria,2.0,3.0,Friendly,False,-7.528574882146742,1.4,3.8,0.4898353852245161,3.2,2.2,1678,1892,-214,L
1936-02-23,Spain,Germany,1.0,2.0,Friendly,False,2.585905403976565,2.8,2.0,-0.45769178455357096,1.8,2.0,1977,1888,89,L
